                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                           Description     Beat               Disposition
2603170067     03/17/2026 10:20   1600 BLK FAIRGROUNDS DR                 CUSTOMER DISTURBANCE                  8     GENERAL SERVICE PROVIDED

2603170068     03/17/2026 10:22   HILL DR/DANIELS AV                      TRAFFIC STOP                          6     WARNING GIVEN

2603170069     03/17/2026 10:25   MINI DR/FALCON DR                       TRAFFIC STOP                          8     GENERAL SERVICE PROVIDED

2603170070     03/17/2026 10:28   REDWOOD ST/SACRAMENTO ST                TRAFFIC STOP                          6     WARNING GIVEN

2603170072     03/17/2026 10:37   900 BLK ADMIRAL CALLAGHAN LN            AUDIBLE ALARM                         1     CANCELLED BY REPORTING PARTY

2603170073     03/17/2026 10:40   3300 BLK SONOMA BL                      TRAFFIC STOP                          6     CITATION

2603170075     03/17/2026 10:45   600 BLK MINI DR                         TRAFFIC STOP                          8     CITATION

2603170076     03/17/2026 10:47   TENNESSEE ST/HUMBOLDT ST                TRAFFIC STOP                          2     WARNING GIVEN

2603170077     03/17/2026 11:04   CONTRA COSTA ST/GEORGIA ST              TRAFFIC STOP                          5     WARNING GIVEN



Total 174 Records                                                       Page 2 of 6                                        Updated @ 3/22/2026 3:20:03 AM
                                                           Vallejo Police Department Public Log
                                                                    from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                            Description                  Beat               Disposition
2603170078     03/17/2026 11:05   ALABAMA ST/SONOMA BL                     TRAFFIC STOP                                  6     WARNING GIVEN

2603170079     03/17/2026 11:07   MARE ISLAND CSWY/TENNESSEE ST            THROW OBJECTS AT A VEHICLE / JUST OCCURRED    6     ALERT BROADCAST

2603170080     03/17/2026 11:13   MARIN ST/PENNSYLVANIA ST                 ABANDONED VEHICLE                             6     GENERAL SERVICE PROVIDED

2603170081     03/17/2026 11:13   SONOMA BL/GEORGIA ST                     TRAFFIC STOP                                  4     WARNING GIVEN

2603170082     03/17/2026 11:14   100 BLK RAINBOW CT                       911 HANGUP                                    2     UNABLE TO LOCATE

2603170083     03/17/2026 11:21   1100 BLK PORTER ST                       WELFARE CHECK                                 4     MH TEAM -IHART PRIMARY

2603170084     03/17/2026 11:28   700 BLK SPRINGS RD                       STAKEOUT                                      5     CANCELLED BY REPORTING PARTY

2603170085     03/17/2026 11:30   100 BLK GLENVIEW CIR                     WELFARE CHECK                                 1     GENERAL SERVICE PROVIDED

2603170086     03/17/2026 11:36   700 BLK FLORIDA ST                       TRAFFIC STOP                                  5     WARNING GIVEN

2603170087     03/17/2026 11:43   3400 BLK SONOMA BL                       FLAGDOWN BY CITIZEN                           6     GENERAL SERVICE PROVIDED

2603170089     03/17/2026 11:46   1300 BLK MONTEREY ST                     TRAFFIC CONTROL / STRUCTURE FIRE              5     REFERRED TO ANOTHER AGENCY

2603170090     03/17/2026 11:48   1000 BLK CORCORAN AVE                    COMMUNITY ENGAGEMENT DETAIL                   8     GENERAL SERVICE PROVIDED

2603170092     03/17/2026 11:49   1100 BLK PINE ST                         FOLLOW UP                                     4     GENERAL SERVICE PROVIDED

2603170093     03/17/2026 11:50   REDWOOD ST/ADMIRAL CALLAGHAN LN          ASSUALT IN PROGRESS                           1     UNABLE TO LOCATE

2603170094     03/17/2026 11:53   700 BLK MONTEREY ST                      VEHICLE THEFT REPORT                          5     UNABLE TO LOCATE

2603170095     03/17/2026 11:56   1400 BLK N CAMINO ALTO                   WELFARE CHECK / 911 HANGUP                    7     UNABLE TO LOCATE

2603170097     03/17/2026 11:58   100 BLK RAINBOW CT                       VERBAL FIGHT                                  2     CANCELLED BY REPORTING PARTY

2603170098     03/17/2026 11:59   IFLAND WY/SONOMA BL                      AREA CHECK                                    7     DUPLICATE CALL

2603170099     03/17/2026 12:00   TENNESSEE ST/OAKWOOD AV                  TRAFFIC STOP                                  2     REPORT

2603170101     03/17/2026 12:05   ILLINOIS ST/EL DORADO                    SPECIAL ASSIGNMENT                            5     GENERAL SERVICE PROVIDED

